pygame 2.6.1 (SDL 2.28.4, Python 3.13.7)
Hello from the pygame community. https://www.pygame.org/contribute.html
Iteration 264/1000 - Best score = 0.1751
Iteration 265/1000 - Best score = 0.1751
Iteration 266/1000 - Best score = 0.1751
Iteration 267/1000 - Best score = 0.1751
Iteration 268/1000 - Best score = 0.1780
Iteration 269/1000 - Best score = 0.1780
Iteration 270/1000 - Best score = 0.1780
Iteration 271/1000 - Best score = 0.1780
Iteration 272/1000 - Best score = 0.1780
Iteration 273/1000 - Best score = 0.1780
Iteration 274/1000 - Best score = 0.1780
Iteration 275/1000 - Best score = 0.1780
Iteration 276/1000 - Best score = 0.1780
Iteration 277/1000 - Best score = 0.1780
Iteration 278/1000 - Best score = 0.1780
Iteration 279/1000 - Best score = 0.1780
Iteration 280/1000 - Best score = 0.1780
Iteration 281/1000 - Best score = 0.1780
Iteration 282/1000 - Best score = 0.1780
Iteration 283/1000 - Best score = 0.1780
Iteration 284/1000 - Best score = 0.1870
Iteration 285/1000 - Best score = 0.1870
Iteration 286/1000 - Best score = 0.1870
Iteration 287/1000 - Best score = 0.1870
Iteration 288/1000 - Best score = 0.1870
Iteration 289/1000 - Best score = 0.1870
Iteration 290/1000 - Best score = 0.1870
Iteration 291/1000 - Best score = 0.1870
Iteration 292/1000 - Best score = 0.1870
Iteration 293/1000 - Best score = 0.1870
Iteration 294/1000 - Best score = 0.1870
Iteration 295/1000 - Best score = 0.1870
Iteration 296/1000 - Best score = 0.1870
Iteration 297/1000 - Best score = 0.1870
Iteration 298/1000 - Best score = 0.1870
Iteration 299/1000 - Best score = 0.1870
Iteration 300/1000 - Best score = 0.1870
Iteration 301/1000 - Best score = 0.1870
Iteration 302/1000 - Best score = 0.1870
Iteration 303/1000 - Best score = 0.1870
Iteration 304/1000 - Best score = 0.1870
Iteration 305/1000 - Best score = 0.1870
Iteration 306/1000 - Best score = 0.1870
Iteration 307/1000 - Best score = 0.1870
Iteration 308/1000 - Best score = 0.1870
Iteration 309/1000 - Best score = 0.1870
Iteration 310/1000 - Best score = 0.1870
Iteration 311/1000 - Best score = 0.1870
Iteration 312/1000 - Best score = 0.1870
Iteration 313/1000 - Best score = 0.1870
Iteration 314/1000 - Best score = 0.2201
Iteration 315/1000 - Best score = 0.2201
Iteration 316/1000 - Best score = 0.2201
Iteration 317/1000 - Best score = 0.2201
Iteration 318/1000 - Best score = 0.2551
Iteration 319/1000 - Best score = 0.2551
Iteration 320/1000 - Best score = 0.2551
Iteration 321/1000 - Best score = 0.2551
Iteration 322/1000 - Best score = 0.2551
Iteration 323/1000 - Best score = 0.2551
Iteration 324/1000 - Best score = 0.2551
Iteration 325/1000 - Best score = 0.2551
Iteration 326/1000 - Best score = 0.2551
Iteration 327/1000 - Best score = 0.2551
Iteration 328/1000 - Best score = 0.2551
Iteration 329/1000 - Best score = 0.2551
Iteration 330/1000 - Best score = 0.2551
Iteration 331/1000 - Best score = 0.2551
Iteration 332/1000 - Best score = 0.2551
Iteration 333/1000 - Best score = 0.2551
Iteration 334/1000 - Best score = 0.2551
Iteration 335/1000 - Best score = 0.2551
Iteration 336/1000 - Best score = 0.2551
Iteration 337/1000 - Best score = 0.2551
Iteration 338/1000 - Best score = 0.2551
Iteration 339/1000 - Best score = 0.2551
Iteration 340/1000 - Best score = 0.2551
Iteration 341/1000 - Best score = 0.2551
Iteration 342/1000 - Best score = 0.2551
Iteration 343/1000 - Best score = 0.2551
Iteration 344/1000 - Best score = 0.2551
Iteration 345/1000 - Best score = 0.2551
Iteration 346/1000 - Best score = 0.2551
Iteration 347/1000 - Best score = 0.2551
Iteration 348/1000 - Best score = 0.2551
Iteration 349/1000 - Best score = 0.2551
Iteration 350/1000 - Best score = 0.2551
Iteration 351/1000 - Best score = 0.2551
Iteration 352/1000 - Best score = 0.2551
Iteration 353/1000 - Best score = 0.2551
Iteration 354/1000 - Best score = 0.2551
Iteration 355/1000 - Best score = 0.2551
Iteration 356/1000 - Best score = 0.2551
Iteration 357/1000 - Best score = 0.2551
Iteration 358/1000 - Best score = 0.2551
Iteration 359/1000 - Best score = 0.2551
Iteration 360/1000 - Best score = 0.2551
Iteration 361/1000 - Best score = 0.2551
Iteration 362/1000 - Best score = 0.2551
Iteration 363/1000 - Best score = 0.2551
Iteration 364/1000 - Best score = 0.2551
Iteration 365/1000 - Best score = 0.2551
Iteration 366/1000 - Best score = 0.2551
Iteration 367/1000 - Best score = 0.2551
Iteration 368/1000 - Best score = 0.2551
Iteration 369/1000 - Best score = 0.2551
Iteration 370/1000 - Best score = 0.2551
Iteration 371/1000 - Best score = 0.2551
Iteration 372/1000 - Best score = 0.2551
Iteration 373/1000 - Best score = 0.2551
Iteration 374/1000 - Best score = 0.2551
Iteration 375/1000 - Best score = 0.2551
Iteration 376/1000 - Best score = 0.2551
Iteration 377/1000 - Best score = 0.2551
